,Agency Name,Agency Logo,Agency Type
153,MaxiMin Real Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/18424-logo-20211116113640.svg,Estate Agency
154,Emlak Extra,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/emlak-extra.svg,Estate Agency
155,Sunisi Emlak,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/9489-logo-20191030101140.jpeg,Estate Agency
156,Templos Limited,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/templos.svg,Estate Agency
157,Menteş Öztürk,,Estate Agency
158,İnce&Can Emlak,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/ince-can-emlak.svg,Estate Agency
159,AnchorPoint Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/11154-logo-20210817154202.svg,Estate Agency
160,Erbatu Emlak ve İnşaat,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/erbatu.jpg,Estate Agency
161,YALKIN EMLAK YATIRIM DANIŞMANLIĞI,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/yalkin-estate.svg,Estate Agency
162,Ahis Estate Agency,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/ahis-emlak.svg,Estate Agency
163,Andromeda Property Agency,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/18618-logo-20211214144530.svg,Estate Agency
164,N.K Luxury property,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/17557-logo-20211101153942.svg,Estate Agency
165,İmza Estates,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/imza-estates.jpg,Estate Agency
166,GL ESTATES CYPRUS,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/gl-estates-cyprus.svg,Estate Agency
167,Vusay Emlak,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/129-logo-20211101110120.svg,Estate Agency
168,Çilek Emlak,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/12150-logo-20200504142542.jpeg,Estate Agency
169,Kıbrıs Ada Emlak,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/kibris-ada-emlak.svg,Estate Agency
170,ADA ROTA LTD,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/11283-logo-20211011163346.svg,Estate Agency
171,Top Gold Empire Estate,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/16411-logo-20220310154224.jpeg,Estate Agency
172,Ozan Emlak,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/7674-logo-20190625125515.jpeg,Estate Agency
173,LockOnCyprus,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/lockon-cyprus.svg,Estate Agency
174,Emine Sürer,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/16378-logo-20211011163756.svg,Estate Agency
175,Acorn Cyprus,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/acorn-estate.svg,Estate Agency
176,Hazan Müzisyen,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/18251-logo-20211013121600.jpeg,Estate Agency
177,Ser-Soy Investment,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/10327-logo-20211012103606.svg,Estate Agency
178,ÖZKARAMAN INVESTMENT -KIBRIS EMLAK,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/ozkaraman-investment.svg,Estate Agency
179,FSI444 ( Four Seasons Investments ),https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/FSI.jpg,Estate Agency
180,Panorama Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/16359-logo-20210908123327.svg,Estate Agency
181,Devidas Estates,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/devidas-estates.svg,Estate Agency
182,A. Ünal Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/13157-logo-20210625151220.svg,Estate Agency
183,Karibu Estates,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/karibu-estates.svg,Estate Agency
184,Velocity Estate,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/velocity-estate.gif,Estate Agency
185,SBG YATIRIM DANIŞMANLIK LTD,https://d2vho998xd1yud.cloudfront.net/user_logo/agent-logo/11607-logo-20200116115559.jpeg,Estate Agency
186,AZANT REAL ESTATES,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/azant-estates.svg,Estate Agency
187,Nohara Estates North Cyprus,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/nohara-estates.svg,Estate Agency
188,ED Plus Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/9944-logo-20210623105728.svg,Estate Agency
189,Century 21 Island Rentals,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/17276-logo-20210810114101.svg,Estate Agency
190,Avertiss Exclusive Real Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/avertiss.svg,Estate Agency
191,Arif Ozankaya Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/17035-logo-20210831103212.svg,Estate Agency
192,Kuralay Estates,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/kuralay-estates.svg,Estate Agency
193,Batu Emlak,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/12226-logo-20211015165657.svg,Estate Agency
194,Plan B Estate,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/18525-logo-20211109105001.svg,Estate Agency
195,EVAL EMLAK,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/17853-logo-20220214144045.jpeg,Estate Agency
196,Coldwell Banker Novest,https://d2vho998xd1yud.cloudfront.net/user-logo-svg/coldwell-banker-novest.svg,Estate Agency
